コード	メイン称号	サブタイトル (英名/職位)	キャッチコピー	説明	軸1(E/B)	軸2(S/T)	軸3(C/Z)	軸4(I/O)	おすすめコミュニティ	おすすめSnowflake機能
ESCI	データスーパーヒーロー	Data Superhero (Advanced Technologist)	先端技術を自ら切り拓く、圧倒的データパイオニア	高い技術的好奇心と深い探求心を持ち、一人で最先端機能を検証・実装して驚くべき成果を出すタイプ。チームやコミュニティに技術的ブレイクスルーをもたらす存在です。	Explorer	Solo	Technical	Innovator	snowvillage-datascience, snowvillage-ai-data-cloud, snowvillage-main	Snowpark, Dynamic Tables, Notebooks
ESZI	ビジョナリーアナリスト	Visionary Analyst (Data Scientist)	データから未来の価値を予見するビジネスイノベーター	データの奥深くに潜むビジネスチャンスやインサイトを一人で発見し、新しい視点やアイデアを提示するタイプ。データドリブンな意思決定の先駆者です。	Explorer	Solo	Business	Innovator	snowvillage-sustainability, snowvillage-ai-data-cloud, snowvillage-main	Cortex Analyst, Streamlit in Snowflake, Notebooks
ETCI	テックエバンジェリスト	Tech Evangelist (Developer Advocate)	最新技術の面白さを自ら試し、周りに熱量を広める伝道者	最新機能や先端技術をいち早く探索し、その価値やノウハウをチームやコミュニティに発信・共有して巻き込んでいくタイプ。技術コミュニティのムードメーカーです。	Explorer	Team	Technical	Innovator	snowvillage-unconference, snowvillage-datascience, snowvillage-main	Snowpark Container Services, Git Integration, Streamlit in Snowflake
ETZI	ドリームチームクリエイター	Dream Team Creator (Community Leader)	人をつなぎ、データの力で新しい挑戦とコミュニティを創る	人と人のコミュニケーションを大切にし、ビジネスアイデアとコミュニティの熱量を掛け合わせて新しい場やプロジェクトを生み出すムードメーカー・リーダーです。	Explorer	Team	Business	Innovator	snowvillage-main, snowvillage-west, snowvillage-kyushu	Native Apps, Snowflake Marketplace, Snowsight Dashboards
ESCO	インサイトナビゲーター	Insight Navigator (Analytics Engineer)	緻密な分析と整理力で、美しいデータモデルを導く案内人	データ探索を行いながら、SQLやモデル定義を美しく整理・最適化する職人タイプ。信頼性の高いデータを整え、周囲の分析効率を何倍にも引き上げます。	Explorer	Solo	Technical	Optimizer	snowvillage-data-management, snowvillage-financial, snowvillage-main	Horizon Catalog, Semantic Views, Data Quality Monitor
ESZO	ストラテジックオプティマイザー	Strategic Optimizer (Business Analyst)	ビジネス視点でデータを読み解き、確実な改善を導く戦略家	ビジネスの課題意識を高く持ち、データを一人で着実に分析・整理して業務改善やプロセス最適化の具体的な一手を見つけ出す実践派アナリストです。	Explorer	Solo	Business	Optimizer	snowvillage-healthcare, snowvillage-financial, snowvillage-main	Snowsight, Cortex Analyst, Secure Data Sharing
ETCO	チームアーキテクト	Team Architect (Data Architect)	全体像を描き、チームの基盤とアーキテクチャを美しく整える	技術的な全体構想を描き、チーム全体の開発効率と安全性を兼ね備えた堅牢なデータ基盤アーキテクチャを設計・最適化する信頼のリーダーです。	Explorer	Team	Technical	Optimizer	snowvillage-data-management, sf2ug, snowvillage-main	Horizon Catalog, Row Access Policy, Streams & Tasks
ETZO	コミュニティハーモナイザー	Community Harmonizer (Data Strategist)	ビジネスとチームを調和させ、全員がデータ成果を出せる環境を作る	ビジネスゴールと現場のチームワークを調和させ、組織全体のデータ活用文化や運用プロセスを安定・最適化させていく調整力抜群のストラテジストです。	Explorer	Team	Business	Optimizer	snowvillage-main, snowvillage-women, snowvillage-central	Secure Data Sharing, Snowsight Dashboards, Alerts
BSCI	パイプラインマスター	Pipeline Master (Data Engineer)	新技術を取り入れ、黙々と堅牢なデータパイプラインを構築する職人	最新のデータ処理技術やSnowparkなどを駆使し、一人で高品質かつ高速なデータパイプラインやETL基盤を力強く作り上げるエンジニアリングのプロフェッショナルです。	Builder	Solo	Technical	Innovator	snowvillage-datascience, sf2ug, snowflake-rookies-camp	Snowpark, Snowpipe, Dynamic Tables
BSZI	プロダクトイノベーター	Product Innovator (Data Product Owner)	ビジネス課題を自らコードとアプリに変えるデータプロダクトの開拓者	高い開発力とビジネスセンスを合わせ持ち、StreamlitやNative Appsなどをフル活用して、新しいデータアプリや社内プロダクトをスピーディに生み出す創作者です。	Builder	Solo	Business	Innovator	snowvillage-ai-data-cloud, sf2ug, snowvillage-main	Streamlit in Snowflake, Native Apps, Cortex Functions
BTCI	プラットフォームリーダー	Platform Leader (Platform Engineer)	チームが快適に使える、次世代データ開発基盤を全員で作り上げる	チーム開発の生産性を最大化するため、先鋭的なプラットフォームや開発環境（Container ServicesやGit連携など）をチームで構築・提供するエンジニアリーダーです。	Builder	Team	Technical	Innovator	snowvillage-datascience, snowvillage-unconference, snowvillage-main	Container Services, Git Integration, Snowflake ML
